Name ,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,a great university,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://images.app.goo.gl/vrCCBNvGQST88PFH6
UCLA,a great university,34.06999972,-118.4397899,"https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles",https://images.app.goo.gl/Uwxw6QYJL3vF4X2dA
UCB,a great university,37.871853,-122.258423,"https://en.wikipedia.org/wiki/University_of_California,_Berkeley",https://images.app.goo.gl/YLcNYGy6iWkR7nG28
UCSD,a great university,32.877492,-117.235277,"https://en.wikipedia.org/wiki/University_of_California,_San_Diego",https://images.app.goo.gl/CeapVNjdii8tH2mw9
UCI,a great university,33.640495,-117.844296,"https://en.wikipedia.org/wiki/University_of_California,_Irvine",https://images.app.goo.gl/RjFdUmbgXZ8ZMnhd8
